Date,No. Agent,Agent Name,Hold,Tea Break,Lunch Break,Manual_dial_Break,Auxillary_Break,Total
2020-04-01,1001,1001,00:00:00,00:28:05,00:40:00,07:19:49,00:00:00,08:27:54
2020-04-01,1002,1002,00:00:00,00:01:21,00:00:00,07:52:16,00:00:00,07:53:37
2020-04-01,1003,1003,00:00:00,00:00:00,00:36:06,02:58:20,00:03:11,03:37:37
2020-04-01,1004,1004,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1005,1005,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1006,1006,00:00:00,00:35:16,00:00:00,02:39:16,00:00:00,03:14:32
2020-04-01,1007,1007,00:00:00,00:13:12,00:00:00,05:00:48,00:14:45,05:28:45
2020-04-01,1008,1008,00:00:00,00:00:00,00:00:00,04:43:18,00:00:00,04:43:18
2020-04-01,1009,1009,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1010,1010,00:00:00,00:00:00,00:00:00,04:31:08,00:00:00,04:31:08
2020-04-01,1011,1011,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1012,1012,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1013,1013,00:00:00,00:00:00,00:00:00,07:30:04,00:00:00,07:30:04
2020-04-01,1014,1014,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1015,1015,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1016,1016,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1017,1017,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1018,1018,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1019,1019,00:00:00,00:00:00,00:22:48,00:00:00,00:00:00,00:22:48
2020-04-01,1020,1020,00:00:00,00:31:34,00:00:00,00:00:00,00:22:19,00:53:53
2020-04-01,1021,1021,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1022,1022,00:00:00,00:00:00,00:00:00,00:22:20,00:10:25,00:32:45
2020-04-01,1023,1023,00:00:00,00:00:00,00:28:22,02:46:57,00:00:00,03:15:19
2020-04-01,1024,1024,00:00:00,00:00:00,00:08:29,03:35:56,00:13:41,03:58:06
2020-04-01,1025,1025,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1026,1026,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1027,1027,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1028,1028,00:00:00,00:12:51,00:28:21,00:00:00,00:00:00,00:41:12
2020-04-01,1029,1029,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1030,1030,00:00:00,00:45:37,00:30:45,00:20:04,00:08:47,01:45:13
2020-04-01,1031,1031,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1032,1032,00:00:00,00:35:20,00:29:42,01:29:20,00:00:00,02:34:22
2020-04-01,1033,1033,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1034,1034,00:00:00,00:00:00,00:47:38,00:00:00,00:00:00,00:47:38
2020-04-01,1035,1035,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,1050,1050,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2001,2001,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2002,2002,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2003,2003,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2004,2004,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2005,2005,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2006,2006,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2007,2007,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2008,2008,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,2009,2009,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,4001,4001,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,4002,4002,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,4003,4003,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,4004,4004,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,8888,8888,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2020-04-01,9999,9999,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
,Total,,00:00:00,03:23:16,04:32:11,51:09:36,01:13:08,60:18:11
